timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
22 6 7 0.3825490015383814 0.017450998461618628
23 6 7 0.31865510436602484 0.08134489563397518
24 6 7 0.33116848998553394 0.06883151001446608
27 5 21 0.3923331709694795 0.007666829030520517
28 5 21 0.3658403697368642 0.03415963026313584
29 5 21 0.35827593701703747 0.04172406298296255
30 5 21 0.36662782092052565 0.03337217907947437
31 4 21 0.39389268911693676 0.006107310883063266
32 4 13 0.39941369765242873 5.863023475712881E-4
32 20 21 0.3906007382713953 0.009399261728604724
35 4 20 0.3880257538185913 0.011974246181408743
36 4 20 0.35811616436175536 0.04188383563824466
43 2 3 0.3762626098449179 0.02373739015508214
44 2 3 0.37862846625303564 0.021371533746964377
46 3 11 0.3958870304115776 0.004112969588422444
49 3 8 0.3930271600332218 0.0069728399667782215
